"Date","Ethereum - Difficulty","Ethereum Classic - Difficulty"
"2015/07/30",121335493201,121335493201
"2015/07/31",602941851594,602941851594
"2015/08/01",887254173531,887254173531
"2015/08/02",1020253707547,1020253707547
"2015/08/03",1125837358847,1125837358847
"2015/08/04",1216587344565,1216587344565
"2015/08/05",1327837857487,1327837857487
"2015/08/06",1380846362252,1380846362252
"2015/08/07",1470838650662,1470838650662
"2015/08/08",1586123528941,1586123528941
"2015/08/09",1709479787485,1709479787485
"2015/08/10",1837695763268,1837695763268
"2015/08/11",2036390797503,2036390797503
"2015/08/12",2207079742290,2207079742290
"2015/08/13",2336979708058,2336979708058
"2015/08/14",2671253150472,2671253150472
"2015/08/15",3378028425874,3378028425874
"2015/08/16",3631632144443,3631632144443
"2015/08/17",3908024035253,3908024035253
"2015/08/18",4377694725369,4377694725369
"2015/08/19",4419573021825,4419573021825
"2015/08/20",4469109431846,4469109431846
"2015/08/21",4415252643655,4415252643655
"2015/08/22",4828340997895,4828340997895
"2015/08/23",5138351075673,5138351075673
"2015/08/24",5179118882691,5179118882691
"2015/08/25",5173287673223,5173287673223
"2015/08/26",5587304091732,5587304091732
"2015/08/27",5925309861486,5925309861486
"2015/08/28",6250868351996,6250868351996
"2015/08/29",6657649139910,6657649139910
"2015/08/30",6780904668948,6780904668948
"2015/08/31",7213764433229,7213764433229
"2015/09/01",7641499013978,7641499013978
"2015/09/02",8283953338039,8283953338039
"2015/09/03",8354596884231,8354596884231
"2015/09/04",6469670080246,6469670080246
"2015/09/05",6235386210269,6235386210269
"2015/09/06",6305025872317,6305025872317
"2015/09/07",6339141092888,6339141092888
"2015/09/08",6077004932539,6077004932539
"2015/09/09",6202066849532,6202066849532
"2015/09/10",6289587949043,6289587949043
"2015/09/11",6561787910853,6561787910853
"2015/09/12",6832639915712,6832639915712
"2015/09/13",7022050607216,7022050607216
"2015/09/14",6626273317244,6626273317244
"2015/09/15",6418523305692,6418523305692
"2015/09/16",6179108814558,6179108814558
"2015/09/17",6040422718682,6040422718682
"2015/09/18",5652727817263,5652727817263
"2015/09/19",5548291301468,5548291301468
"2015/09/20",6202288372044,6202288372044
"2015/09/21",6541475961495,6541475961495
"2015/09/22",6624026779678,6624026779678
"2015/09/23",6895375007165,6895375007165
"2015/09/24",7029217239892,7029217239892
"2015/09/25",6977082570625,6977082570625
"2015/09/26",7226850619904,7226850619904
"2015/09/27",7252906515025,7252906515025
"2015/09/28",6747096187571,6747096187571
"2015/09/29",6057282503508,6057282503508
"2015/09/30",5625252282980,5625252282980
"2015/10/01",5652882534059,5652882534059
"2015/10/02",5981731817267,5981731817267
"2015/10/03",6290812311295,6290812311295
"2015/10/04",6205739662281,6205739662281
"2015/10/05",6284591115849,6284591115849
"2015/10/06",6276470353925,6276470353925
"2015/10/07",5983537715401,5983537715401
"2015/10/08",5977784444865,5977784444865
"2015/10/09",6122631614309,6122631614309
"2015/10/10",6031582042944,6031582042944
"2015/10/11",6139498339884,6139498339884
"2015/10/12",6145002740254,6145002740254
"2015/10/13",6356692057708,6356692057708
"2015/10/14",6482464932997,6482464932997
"2015/10/15",6209364513561,6209364513561
"2015/10/16",5814901770906,5814901770906
"2015/10/17",6004201090754,6004201090754
"2015/10/18",5973918932016,5973918932016
"2015/10/19",5921606787199,5921606787199
"2015/10/20",5834977688133,5834977688133
"2015/10/21",5875656973201,5875656973201
"2015/10/22",5734489168580,5734489168580
"2015/10/23",5878810489625,5878810489625
"2015/10/24",6288280683193,6288280683193
"2015/10/25",6589253417659,6589253417659
"2015/10/26",6541039905213,6541039905213
"2015/10/27",6541750115500,6541750115500
"2015/10/28",6845791973688,6845791973688
"2015/10/29",7040083960188,7040083960188
"2015/10/30",7428610213549,7428610213549
"2015/10/31",7792887089971,7792887089971
"2015/11/01",7780658217194,7780658217194
"2015/11/02",7689750130444,7689750130444
"2015/11/03",7332785272894,7332785272894
"2015/11/04",7742586663680,7742586663680
"2015/11/05",7582489324903,7582489324903
"2015/11/06",7592232261293,7592232261293
"2015/11/07",7549914589721,7549914589721
"2015/11/08",7709287701831,7709287701831
"2015/11/09",7754098317251,7754098317251
"2015/11/10",7760001726241,7760001726241
"2015/11/11",7673240442434,7673240442434
"2015/11/12",7746194157636,7746194157636
"2015/11/13",7870061343233,7870061343233
"2015/11/14",7913167398563,7913167398563
"2015/11/15",8259505404948,8259505404948
"2015/11/16",8327053098273,8327053098273
"2015/11/17",8153082615467,8153082615467
"2015/11/18",8549643854787,8549643854787
"2015/11/19",8806541779358,8806541779358
"2015/11/20",7974988114890,7974988114890
"2015/11/21",7600545692812,7600545692812
"2015/11/22",7533348659094,7533348659094
"2015/11/23",7566020050684,7566020050684
"2015/11/24",7664566213246,7664566213246
"2015/11/25",7516847539837,7516847539837
"2015/11/26",7497611770240,7497611770240
"2015/11/27",7469695245892,7469695245892
"2015/11/28",7720770634161,7720770634161
"2015/11/29",7721488856046,7721488856046
"2015/11/30",7780837709728,7780837709728
"2015/12/01",7873489340192,7873489340192
"2015/12/02",7817999751936,7817999751936
"2015/12/03",7588315518792,7588315518792
"2015/12/04",7833023569691,7833023569691
"2015/12/05",8163740698470,8163740698470
"2015/12/06",7852114986499,7852114986499
"2015/12/07",7648250416399,7648250416399
"2015/12/08",7547985307949,7547985307949
"2015/12/09",7350171617029,7350171617029
